Text,Emotion
 It sounds too bad . What will you do ? ,sadness
The woman was not affronted . ,anger
"@Sut_11 you get a big list of items that need to be found then transferred to another shop, so that's just taken me 4 hours, bak later ",joy
"Watching \11 am\"". They had a programme on the starving refugees. Their plight was a source of sadness for me.""",sadness
A father helping his kid to fight other kids.,anger
Irishman Mr MacSharry was so furious about Mr Delors ' interference that he resigned his post . ,anger
A fatpig like kenny should roll himself in a pool of syrup.Then lock himself in a cage under the sun. Let some red ants bite him. ,anger
"that moment when u tell a joke and u think everyone laughs at it, but really they were laughing at somone elses joke. Lol ",sadness
D: TODAYS EPISODE OF FMA WAS FREAKIN SAD....... Wish I had a lil bro like Al or a big bro like Ed... ,sadness
@pattonoswalt I just found out. I still have Dragonsong from when I was a kid(stolen from my public school library btw...hee!),sadness
arms and legs are so sore :( and tomorrow's truck day! ,joy
"Their mother died a month later , heartbroken by the loss of her mate . ",sadness
 Leave me ! Go away ! ,anger
"Figurative arts , even more than poetry , expressed the mixed feelings of elation over past victories and fear of future incursions which the Celts inspired . ",joy
Today the woman who has looked after my daughter so I could write my book is leaving. She is more than a nanny. ,sadness
"@leeberube gonna be the big 2-0, not that sweet little girl that used to make me buy her dunkins every morning ",sadness
When I was told that they had got tickets for me for a film marathon I wanted to see.,joy
LMFAO going shopping for my secret santa tmr with saritha.. :D:$,joy
Waking up early tomorrow to finish assignment ,joy
Nigel became despondent but I didn't . ,sadness
 I'm very sorry to hear that . ,sadness
"` But I feel dismay , sorrow , for so many people in our country who do not share this personal good fortune and who as a result of further years of Tory government will experience further disadvantage . ",sadness
Got Rihannas newww CD! Talk that Talk!  #happiness,joy
So easy to wake up for school knowing you don't have football later #LiftinSeason,joy
"i hate it when you play online, you start winning for once and then the person quits ",sadness
Super pissed! Tore my favorite fucking Polo today! ,sadness
Work is too boring. Just me myself and i. And twitter. And random people that walk in from time to time. ,joy
Just found out my first supervisor (after college) passed away last year.  I wish I'd known.  He was such a cool dude.  ,sadness
"He think he so in luv, he in luv wit a slut. ",sadness
 I got caught cheating . I feel so ashamed . The teacher saw me and told me I failed . ,sadness
"Professor announces take home exam, standing ovation follows ",joy
@AuntieChristina how did i manage to leave your place without taking some of that? #depression #suicide,sadness
Finally finished one out of 3 parts of my assignments ,joy
I honestly dont understand how people get sick of Christmas music  #happiness Just a combination of all good things!,joy
@TaylorSayles ive been alone ill probably never find someone who can handle me,joy
@JessTasking And Soros runs most of the liberal press -- #joyness #propaganda #spindoctoring #monsters,joy
"When a friend of mine was drawn into a fight because of the stupid gang he belonged to. I felt angry with him and his friends. They could not think about anything sensible, but would fool around without taking into consideration the feelings of other persons",anger
yasss! mum just came through with an advent calendar! ,joy
Only running 40 minutes late ,joy
So I just used @ijuzwannadanz auntie remedy of drinking a tablespoon of vinegar for my headache and it didn't work ,sadness
It was shocking news to me when I received a telegram from home telling me that my grandmother had passed away. I had to go home to attend the funeral but unfortunately I found that the burial had already taken place.,sadness
"@mareekayy haha your text that said &quot;Yup&quot; ? and so do i, going w/ yulia bc we have to take a psych test at like 6:15 ",joy
When I Lose A Game I Blame Whoever's Close ,joy
why won't asos accept my nus number? grrrrr ,anger
Hmm.. I think the word 'upgrade' needs to be redefined?  think upgrade means 'pay more for less'; a rubbish phone &amp; lesser tariff! ,joy
"Thanksgiving should be a happpy time. Instead, my family is arguing.   ",joy
@Edutainer26 I'm all about finding a fierce wedding dress. Plus you're sample (model) size... ,joy
I had failed some subjects in mathematics.,sadness
"I met a girl some time ago and I cared very much about her but it happened so that we left each other. I felt some sort of sadness, I think I can call it so.",sadness
working all day tomorrow ,joy
"Oh god, I just got a papercut and now I'm afraid to stretch my hand in any way that could make it worse. ",sadness
Having a good trip on a boat with good friends.,joy
"I have absolutely nothing to do, on a Friday night ",sadness
I feel old. I don't recognize any Disney Channel shows and now I'm older than most of the stars.  #childhood,sadness
"I guess it's time for one more read-through of this Dendro study guide, then off to bed. Only to wake up, shower, and study some more. ",joy
"I feel joy usually after each taken exam, the last one was in February.",joy
".i feel like a brand new person , nt boud to let nobdy steal my today =)",joy
Last few concepts for my research paper!!! So excited to finish !!!!!,joy
When I called my boyfriend he asked me if I would live with him.,joy
I just broke two of my lights that I was going to put around my walls...  ,sadness
"` It was a sort of excitement to him . "" ",joy
I just discovered that I owe $ 10 for a movie that I never ordered . ,anger
" You know my father . If I fail , he'll kill me . I have to do well . ",sadness
She said : ` Don't be cross with them . ,anger
+1 *cries* RT @Chultu: An instant Friday evening plan goes ti ti fissssh.. :(,sadness
No Booster Juice on campus. #CUProblems,sadness
with joy you will draw water from the wells of salvation  #Jesus,joy
"I wish I could sing like a Disney princess. Belle, Ariel, Cinderella - they had PIPES! ",sadness
I'm on a  Vibe gon feed this depression to the paper with a pen as the spoon. My Pad is hungry and Imma feed it this ,sadness
When I quarrelled with my boyfriend.,sadness
"Baby can't really kick much anymore :( getting too big, now he just jabs his feet into my ribs :)",joy
"There's power in the blood of Jesus! You're Father's screaming, &quot;Just come home!&quot; He is reaching out His hands!! ",joy
"Suddenly I become part of your past, I'm becoming the part that don't last, I'm losing you and its effortless ",sadness
 No . ,sadness
Since I passed the DMCT last year I get to spend my math hour doing absolutely nothing in the library.. ,joy
"Mr Mitterrand appears so delighted with the ultra-courteous Edouard Balladur , that some Socialists wonder whether he has at last found the prime minister of his dreams . ",joy
U can't love others if you have not experienced the love of God in your life!    #HBCDenver,joy
"A girl whom I trusted and with whom I had shared personal, confidential matters twisted the facts and told it to a common friend of ours.  When this common friend told me the version my friend had told her, I was angry.",anger
"This always happens to me; I push them away or don't show I care enough for their likings, and I get dumped. ",joy
"A man kept a seat taken by putting his coat on it after a while the chair was still empty, I asked him if I could use the chair, he didn't agree for the chair was for his coat.",anger
Already time to go back to school tomorrow where did the break go?!? ,sadness
"They gossip and joke and giggle like schoolgirls : very different from their daughters-in-law who are sometimes seen shuffling behind them , heavily veiled and silent and with the downcast eyes of prisoners under guard . ",sadness
" lets GO,  2 make GOD  b/c we can only SINCERELY BE  b/c of  2 the world ... #JOY 2 you ... ;O) #fb",joy
I literally don't sleep....... Going on 46 hours........... #ijustwantanap,joy
Our basketball team is undefeated in league play (4-0) currently.,joy
" I don ’ t slurp my coffee . And plus , how can you hear it when you ’ re shouting into your phone all the time ? ",anger
Pa la cama cansado despues de darlo todo en CocoLoco la #hostia&#xA;Buenas noches Gente!,joy
Getting put on more medicine so I can feel just the same. ,joy
"His marriage to Osthryth , the sister of King Ecgfrith , inhibited him from bestowing royal favour on Wilfrid until Archbishop Theodore engineered a reconciliation of offended parties in 686 . ",anger
"And the and the #Sorrow mixed up, leads #Mistrust now it gets tough to ever #Love again...",anger
Seriously wish I knew my credit card number off by heart. #onlineshoppingproblem,sadness
"God, what a way to end Thanksgiving. Rest in Peace Maggie Daley. ",sadness
"Dear out-of-tune  whistler, your internal is my red, red #rage. Kindly refrain. #work",joy
"I experienced this feeling when I was accepted as a student. Because everything turned out different from my expectations. Although I passed the exam successfully I was accepted as a student only when I didn't expect it at all, namely at the beginning of September.",joy
"so glad @cassandraopper is home. Naps, football, food, family. ",joy
The most powerful gift of life is love  #happiness #spiritual #women #men #wisdom #empowerment #quote #life #enlightenment #peace,joy
LT from the skins game yesterday,anger
When my sister took my things without having asked for my permission first.,anger
 My bad.sorry ! ,sadness
I don't know was worse my  or my actions after my kicks in,anger
"He is portrayed as showing sorrow at the destruction caused by German bombers and it is he who ` saves the day "" by first giving himself up and then being shot by Clogger . ",sadness
 Me too . I ’ ll write to you once I get settled . But I have so much to do . You might have to wait a while . But I really will write to you . I love to write letters . I think it ’ s more meaning than the emails even than the phone call . ,joy
@jesseyjoy comprare el cd uds tdo por ti @solamentejoy no acostumbro el pop xq soy reggaetonero pro tdo x !&lt;3,joy
"To our gratification , Blackwells , whom we had approached , expressed interest in the project , something we had not dared to expect . ",joy
Horrible headache empty stomachhe when you feel like you have hit rock bottum but you havent yet...... ,sadness
@TomPeribonio @brannflakez @savannah_long if she's lost in our twitter convo shell never keep up in real convo ,sadness
Your life is constantly whispering the right answers to you-- &amp; don't ignore what's in your  &amp; mind.    ,joy
"Pickle removed his diaper during nap time resulting in urine all over the crib, bedding &amp; floor.  In fact, he now has piss soaked hair. ",joy
" That's ok , keep going , you ’ re moving ahead by leaps and bounds . Watch your dynamics ! Keep your elbows lifted . Remember to stroke the keys , don ’ t pound . That ’ s better ! Remember that as a pianist or any ",joy
Full night of homework ahead of me ,joy
When I heard what mark I had got at the entrance examination and I realized my admittance to the University was almost certain.,joy
"1st flight accomplished, lunch, &amp; tthen another airplane ",joy
man. must now leave the warmth of my pvt bath and heater to brave the cold and wet outside to go food shopping. ,sadness
Love being at work on my rare weekend off! ,joy
Someone didn't show up at a meeting in spite of having agreed to come.,anger
"Nevertheless, do not rejoice in this, that the spirits are subject to you, but rejoice that your names are written in heaven.Luke 10:20 ",joy
My parents are always saying I am not good enough . ,sadness
I really like the record you lent me the other day . ,anger
12 SENTENCE TRANSLATIONS BY THURSDAY. SRSLY ROMEO?! ,anger
David coped with his grief by trying to save other youngsters from solvent abuse . ,sadness
 Just get out of my face ! ,anger
"Umm, @Liz_Antoinette have the same christmas faves: it's a wonderful life and jewel. Yes.  ",joy
Helpin Brandon and brittany move her parents stuff! ,sadness
When I was teased by my friend for not scoring good marks in the exams.,anger
Currently dealing with second worst haircut of my adult life. The first was the haircut I walked into this place to fix. ,sadness
uscire di casa con 60 cent con la convinzione di prendere un bueno alla macchinetta e trovare la fila dei bueno vuota #truestory,sadness
"Sometimes , amid great excitement , his mother was in , with guests who drank wine and laughed loudly and spoiled him and Pam . ",joy
When I saw my brother being attacked and I could not do anything.,anger
I hate when Twitter doesn't allow enough characters for a meaningful tweet ;),sadness
The mother of a person with whom we had been sharing a housing accused me of trying to rip her off over payment of bills in the house. ,anger
" Well , I'm afraid there is . I have some bad news for you about the results of the forensic tests ... there won't be any results . ",sadness
Do we really hafta wait another year for part 2? Woooow.. Bullshit  ,anger
Oh and to make my day even better I have double maths ,joy
"every night, fake smiles every morning.",sadness
Horrible gaming from @Mewie last nite - he received his 1st Rough Day ribbon in  - &quot;Most Deaths in a Match&quot; ,sadness
"Eating messy apple, peanut butter, granola, choc chip snack that's delish haha while shopping online and listening to 3 Tage Wach ;) ",joy
"@KijeraAvA because im alone in my bedroom and I feel lonely (n) ... just in one of those moods i guess, grrrr",sadness
Someone told me that he would stay at my home for one night. Therefore I made big efforts to make everything ok (food). One day before he cancelled the appointment because he had to go to church with his parents.,anger
"The day the results of the Chinese university was announced I should have been very happy; however my grandmother, because of  her prejudice and misunderstanding, started a  quarrel with my mother.  She expected me to take her side and she deliberately talked of my mother's wrong doings.  I was very angry because - one my grandmother was not being reasonable and two because it should have been a happy day and three we had moved into a new house that day.",anger
Let us go prof... I'm gonna be late for my next class! ,anger
"Discovering that Lillehammer provided no musical environment that suits my taste, even though I had been told so.",sadness
"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died.  I could not  understand how normal people could behave in such a way.",anger
Taco Bell At The Food Court ; I Got My Last Day In Mens ,joy
I cannot believe I'm going to leave TJ Maxx without those Kate Spade boots. I'm losing it. ,sadness
"@_clariisabel : on the weekdays, the food is awful lol. Brunch on the weekends are ok. ",sadness
" In the evening , we just sit and talk over dinner . But on the weekend , we try to go out to the beach or hit a nice restaurant , or go to a nice cafe . ",joy
"I thought today would be a dull day, but then - happily - all of Europe's banks exploded (a little). ",joy
@janet_theplanet I guess you can say I'm officially single :(,sadness
Cut from work.. Would normally be pissed but I have mucho studying to do ,joy
When my 6 month old son is happy and well.,joy
Easy: giving!!! RT @thebodyshopuk: 6 days left to tell us what brings you for a chance to win some TBS goodies! x,joy
Moving. Good bye old house. Hello new house. #happiness,sadness
Seeing my sister after about 2 years of not seeing her. Only spent 1 hour or so before she was off overseas with her husband for 3 months.,joy
Track season started and I'm not working with the team this year ,sadness
When I felt lack of aid from close friends.,sadness
Favorite part about spending time with relatives during the holidays: Hearing about &quot;the gays.&quot; ,joy
Lady followed her example rather than suffer at the hands of her infuriated master . ,anger
"After an exhausting day I came home and wanted to take a bath to relax. My father wanted to take a bath first and when he had finished after an hour, there was no hot water left for me.",anger
@BeccaWig &quot;Whose Wiz Khalifa?&quot; shake of the head in disbelief..  ,sadness
Im so tired. Then i got work and a long night tonight. #Itwillbeagrandtime,joy
 They didn ’ t let me go until the next morning . ,anger
I only tweet what's on my mind and shit that I feel nd will help ppl    #love #connectionswithpeople,sadness
Family movie time ,joy
"At a news conference at the Royal Geographical Society in London , they described the mental and physical anguish of their 95-day trek . ",sadness
Mayday Parade and traffic school is what I'll be doing tonight. Tickets are way lame.,joy
So many amazing concert tickets go on sale this Friday...   ,sadness
"There's only one thing I want to be doing right now, but sadly I'm not doing that instead I'm doing my homework!-_- ",joy
So excited about the growth in my friend &amp; Brother Pastor Soto. The Holy Spirit is on this kid! ,joy
Working a double in the morning and training some new person ,joy
Gotta have a blood test to test for any black mould poisoning. ,joy
"Ijust realized wen I donate mi hair, ima look like mi brother from thee nek up. -__- lol",sadness
On my birthday I got a present that I had desired for a long time.,joy
Who knew hanging Christmas lights outside could be so time consuming and exhausting? I'm not even finished yet ,sadness
"I can't touch  tangibly, but I can feel Him tangibly affect me-Sy Rogers       ",joy
"She smiled , as if pleased at displaying her superiority . ",joy
the vinyl collection is growing! :) ,joy
 Maybe tonight . I don't know . I don't know how to tell her . ,sadness
@CMSamaritano im kind of stuck on my couch between two sleeping/twitching dogs ,joy
"@mrssheylaknight oh. I was like going crazy searching for that channel but then i was like owait,its a UK channel. Then I got sad. ",sadness
"It is the DND's job to cover the ass of a lying Minister of National Defence? Abuse of Power, Absence of Ethics...  #RAGE",anger
"YAY!!! after more than 24hrs, my back has finally gone out of spasm!!! #winning",joy
Oi. This bride on  Big Bliss is in srs denial about her body. You can gain inches but not gain pounds. TRUFAX. #awkward,sadness
Thought i saw cory monteith at the bus stop. It wasnt him. ,sadness
andd here we go. week 16. final week.  ,sadness
Good Morning world!  to everyone!! Rise &amp; shine with  &amp; #Peace in your today! Be #thankful for your blessings!,joy
Keeps crossing my mind that egan's gone for a whole week. @melissatrunzo,joy
Reminded that my life is bordered on 1 side by memories of Gods acts &amp; the other by hope in His promises- whatever is happening... ,joy
I remember my despondency in 1926 when Abd al Karim was forced to surrender to the French . ,sadness
Best thing of the day 2: MY SISTER IS COMING! MY SISTER IS COMING!!!    #thanksgiving,joy
I once failed a test miserably and my friend did very well and someone made a nasty comment while comparing me to my friend.,anger
Feeling like  is smiling at me right this moment. Thank you for these moments of pure ,joy
But Christine felt vexed when at the next Pack Meeting Sarah lost points for the Six through being a slowcoach . ,anger
ohhhh stress! guys can be such a waste of time ,anger
makes me poor #mistakes make me poorer #books make me rich #friends make me #richer,anger
But I have work ...4 hours of pretending to be happy ,joy
"My sister, whom I like very much, asked me for a favour which I refused her for some flimsy reason. Some time later I felt sorry for that and something like sadness.",sadness
 about to go down? @djcommish is having a bad sports day,joy
"Anyway, time to settle in for a nice plane ride and lots of Russia I reading ",joy
"Work today, tomorrow, and Saturday ",joy
"@gabygab17 my cellphone is dead, my computer is dead so im dead ",sadness
@AndrewPeterson  makes me giddy. Our little blue house is warmed by the true magic of it.  #speechless #christiscoming,joy
Time to ugh shower and spend my night studying ,joy
there is a 4th Ice Age movie!! ,joy
"my throat is on fire.. guess i'll be going to the doctor tomorrow. in other news, tonight was a successful night(: praise God !",joy
Aw that was a cute Kim and Kris moment ,sadness
"man ii really having to have control over my only Fool show there emotions.. or so ii heard,, ii STiLL dONt likE THAT OLD' BiTCH",anger
"Saturday omelette, coffee perculating, and Chet Baker~ ",joy
